Address Range,Name,Size (kB),RSS (kB),PSS (kB)
570a8e2000-570a918000 r--p 00000000 00:1e 119                            /tmp/unified,/tmp/unified,216,120,120
570a918000-570a987000 r-xp 00035000 00:1e 119                            /tmp/unified,/tmp/unified,444,380,380
570a987000-570a98f000 r--p 000a3000 00:1e 119                            /tmp/unified,/tmp/unified,32,32,32
570a98f000-570a990000 rw-p 000aa000 00:1e 119                            /tmp/unified,/tmp/unified,4,4,4
570a990000-570a992000 rw-p 00000000 00:00 0                              [anon:.bss],[anon:.bss],8,4,4
5effc00000-5effe01000 rw-s 5effc00000 00:10 580                          /dev/mali0,/dev/mali0,2052,0,0
5efffed000-5efffee000 rw-s 5efffed000 00:10 580                          /dev/mali0,/dev/mali0,4,0,0
5efffee000-5efffef000 rw-s 5efffee000 00:10 580                          /dev/mali0,/dev/mali0,4,0,0
5efffef000-5effff0000 rw-s 5efffef000 00:10 580                          /dev/mali0,/dev/mali0,4,0,0
5effff0000-5effff1000 rw-s 5effff0000 00:10 580                          /dev/mali0,/dev/mali0,4,0,0
5effffe000-5efffff000 rw-s 5effffe000 00:10 580                          /dev/mali0,/dev/mali0,4,0,0
7b660aa000-7b67080000 ---p 00000000 00:00 0,(anonymous),16216,0,0
7b67080000-7b67084000 rw-p 00000000 00:00 0,(anonymous),16,0,0
7b67084000-7b677e0000 ---p 00000000 00:00 0,(anonymous),7536,0,0
7b677e0000-7b677e4000 rw-p 00000000 00:00 0,(anonymous),16,0,0
7b677e4000-7b6907c000 ---p 00000000 00:00 0,(anonymous),25184,0,0
7b6907c000-7b69080000 rw-p 00000000 00:00 0,(anonymous),16,0,0
7b69080000-7b69d78000 ---p 00000000 00:00 0,(anonymous),13280,0,0
7b69d78000-7b69d7c000 rw-p 00000000 00:00 0,(anonymous),16,0,0
7b69d7c000-7b6a1d0000 ---p 00000000 00:00 0,(anonymous),4432,0,0
7b6a1d0000-7b6a1d4000 rw-p 00000000 00:00 0,(anonymous),16,0,0
7b6a1d4000-7b6b5a0000 ---p 00000000 00:00 0,(anonymous),20272,0,0
7b6b5a0000-7b6b5a4000 rw-p 00000000 00:00 0,(anonymous),16,0,0
7b6b5a4000-7b6cfe4000 ---p 00000000 00:00 0,(anonymous),26880,0,0
7b6cfe4000-7b6cfe8000 rw-p 00000000 00:00 0,(anonymous),16,0,0
7b6cfe8000-7b6d0aa000 ---p 00000000 00:00 0,(anonymous),776,0,0
7b6d0aa000-7b6d0ab000 ---p 00000000 00:00 0,(anonymous),4,0,0
7b6d0ab000-7b6d1a7000 rw-p 00000000 00:00 0                              [anon:stack_and_tls:11450],[anon:stack_and_tls:11450],1008,12,12
7b6d1a7000-7b6d1a9000 ---p 00000000 00:00 0,(anonymous),8,0,0
